iso3,name,region,income_group,overall_centrality,nn_centrality,n_centrality,ed_centrality,ing_centrality,n_partners,n_agreements,avg_enforceable,max_enforceable,overall_rank,nn_rank,n_rank,ed_rank,ing_rank
CIV,CIV,SSA,Developing,0.03399019627760946,0.029213455269211572,0.10198645191156795,0.02280195050827658,0.08369385177955403,80,5,82.8,164,94,88,32,100,64
SYC,SYC,SSA,Developed,0.03351756953484257,0.027404247483304056,0.08270440991861956,0.028250506955909586,0.05748395305442056,79,8,111.625,164,95,97,67,94,78
COM,COM,SSA,Developing,0.03351756953484256,0.027472204418481833,0.08938612632466818,0.022278964027940374,0.08320195224226538,79,7,125.85714285714286,164,96,96,53,102,65
MDG,MDG,SSA,Developing,0.03347049827318784,0.02753142665990818,0.08615630551931068,0.022278964027940374,0.08289177788503065,78,6,122.16666666666667,164,97,95,61,102,66
GHA,Ghana,SSA,Developing,0.032816775019020715,0.023181376357561165,0.13615052158957844,0.020880269133049724,0.08218790193391289,108,5,71.0,164,98,99,7,105,67
PSE,PSE,MENA,Developing,0.031553001782218086,0.0,0.0,0.032938206511109,0.038691063640794464,33,4,84.5,117,99,205,190,90,117
LBN,LBN,MENA,Developing,0.029515212593446357,0.03172107912974829,0.025932792521922574,0.0309465937876137,0.03586480827212778,47,4,66.5,150,100,86,119,92,119
CHN,China,EAP,Developing,0.027306940039342507,0.02323703806200766,0.0403393243551299,0.016962336756079312,0.027906796406667687,27,18,166.16666666666666,327,101,98,112,120,130
MSR,MSR,LAC,Unknown,0.027175044221739334,0.03134998413016295,0.0,0.022929372039254717,0.010268511547555618,41,2,103.0,132,102,87,190,99,148
IDN,Indonesia,EAP,Developing,0.026090829298901778,0.006422904069831279,0.04761808428426418,0.018882167903255396,0.024071943984431552,54,14,151.0,327,103,129,100,107,132
PHL,Philippines,EAP,Developing,0.025584000214003214,0.005904749793862676,0.047045013796892764,0.018336621115245925,0.02385058967279623,54,12,150.66666666666666,327,104,141,101,119,133
PNG,PNG,EAP,Developing,0.02536242055668148,0.02813357306697823,0.00022569922616737305,0.026530894043069984,0.03188710666858362,42,6,32.5,101,105,90,182,95,123
WSM,WSM,EAP,Developing,0.025362420556681475,0.028131937197887917,0.00022569922616737348,0.026530894043069984,0.03188710666858363,42,7,27.857142857142858,101,106,92,181,95,122
SLB,SLB,EAP,Developing,0.025362420556681472,0.028132120866214978,0.00022569922616737391,0.026530894043069984,0.031887106668583604,42,8,27.5,101,107,91,180,95,125
FJI,FJI,EAP,Developing,0.025362420556681472,0.028131324569080594,0.00022569922616737478,0.026530894043069984,0.03188710666858362,42,5,35.8,101,107,93,178,95,123
THA,Thailand,EAP,Developing,0.021833389179590466,0.0041161437030570736,0.046523406731017174,0.014269578582144775,0.020763806055031395,50,15,137.6,327,109,151,104,121,134
MMR,MMR,EAP,Developing,0.021078707178007614,0.0033924903806895404,0.04668471099757746,0.013456126506098322,0.02038004178543776,50,9,151.22222222222223,327,110,163,103,123,135
LAO,LAO,EAP,Developing,0.020081262536578024,0.008619553553081881,0.042807119381562654,0.01313707322204773,0.01833897130701709,18,11,131.0,327,111,118,108,124,137
KHM,KHM,EAP,Developing,0.02006764934159618,0.008615809067624079,0.04349922248357531,0.01313707322204773,0.018308438501783295,16,8,168.75,327,112,119,107,124,138
FRO,FRO,ECA,Developed,0.018002434360997296,0.018373077532911352,0.016228287176756243,0.01897708399781481,9.608036775258644e-05,32,6,41.0,74,113,113,125,106,197
PYF,PYF,EAP,Developed,0.017495703827425508,0.019645093339689737,0.012819786071797833,0.018431169364182487,0.0,27,1,74.0,74,114,101,129,108,198
AIA,AIA,LAC,Unknown,0.017495703827425508,0.019645093339689737,0.007970293852651363,0.018431169364182487,0.0,27,1,74.0,74,114,101,137,108,198
NCL,NCL,EAP,Developed,0.017495703827425508,0.019645093339689737,0.013311148306885375,0.018431169364182487,0.0,27,1,74.0,74,114,101,127,108,198
BMU,BMU,NAM,Developed,0.017495703827425508,0.019645093339689737,0.007942585240219019,0.018431169364182487,0.0,27,1,74.0,74,114,101,139,108,198
PCN,PCN,EAP,Unknown,0.017495703827425508,0.019645093339689737,0.0,0.018431169364182487,0.0,27,1,74.0,74,114,101,190,108,198
SPM,SPM,NAM,Unknown,0.017495703827425508,0.019645093339689737,0.008839132030312736,0.018431169364182487,0.0,27,1,74.0,74,114,101,135,108,198
CYM,CYM,LAC,Developed,0.017495703827425508,0.019645093339689737,0.007942585240219019,0.018431169364182487,0.0,27,1,74.0,74,114,101,139,108,198
ABW,ABW,LAC,Developed,0.017495703827425508,0.019645093339689737,0.007970293852651363,0.018431169364182487,0.0,27,1,74.0,74,114,101,137,108,198
WLF,WLF,EAP,Unknown,0.017495703827425508,0.019645093339689737,0.011561531163050956,0.018431169364182487,0.0,27,1,74.0,74,114,101,132,108,198
TCA,TCA,LAC,Developed,0.017495703827425508,0.019645093339689737,0.008787566044839625,0.018431169364182487,0.0,27,1,74.0,74,114,101,136,108,198
GRL,GRL,NAM,Developed,0.017495703827425508,0.019645093339689737,0.01297972173105661,0.018431169364182487,0.0,27,1,74.0,74,114,101,128,108,198
SDN,SDN,SSA,Developing,0.014107096020184942,0.0024692565422182074,0.11963429755594894,0.0008493931180745585,0.05898815126327384,91,5,100.2,164,125,169,18,145,73
LBY,LBY,MENA,Developing,0.014060024758530212,0.006769029072981575,0.1023534957959777,0.0008493931180745585,0.05867797690603916,90,5,100.2,164,126,126,29,145,77
TZA,Tanzania,SSA,Developing,0.014032548968924273,0.004028911631166643,0.10850742345235954,0.0008460792260425508,0.058866686597140734,81,7,93.57142857142857,164,127,152,25,147,74
GIN,GIN,SSA,Developing,0.014012244770442722,0.00574540940330286,0.1038969504368512,0.0008460792260425508,0.058734875156599496,81,3,92.66666666666667,164,128,143,27,147,76
NGA,Nigeria,SSA,Developing,0.014012244770442718,0.0024737150018429525,0.12338274891690319,0.0008460792260425508,0.05873487515659951,81,3,92.66666666666667,164,129,168,14,147,75
