iso1,iso2,WBID,agreement,entry_year
AGO,SSD,396,AfCFTA (African Continental Free Trade) Agreement,2019.0
AGO,STP,396,AfCFTA (African Continental Free Trade) Agreement,2019.0
AGO,SWZ,95,Southern African Development Community (SADC),2000.0
AGO,SWZ,396,AfCFTA (African Continental Free Trade) Agreement,2019.0
AGO,SYC,95,Southern African Development Community (SADC),2000.0
AGO,SYC,396,AfCFTA (African Continental Free Trade) Agreement,2019.0
AGO,TCD,396,AfCFTA (African Continental Free Trade) Agreement,2019.0
AGO,TGO,396,AfCFTA (African Continental Free Trade) Agreement,2019.0
AGO,TUN,396,AfCFTA (African Continental Free Trade) Agreement,2019.0
AGO,TZA,95,Southern African Development Community (SADC),2000.0
AGO,TZA,396,AfCFTA (African Continental Free Trade) Agreement,2019.0
AGO,UGA,396,AfCFTA (African Continental Free Trade) Agreement,2019.0
AGO,ZAF,95,Southern African Development Community (SADC),2000.0
AGO,ZAF,396,AfCFTA (African Continental Free Trade) Agreement,2019.0
AGO,ZMB,95,Southern African Development Community (SADC),2000.0
AGO,ZMB,396,AfCFTA (African Continental Free Trade) Agreement,2019.0
AGO,ZWE,95,Southern African Development Community (SADC),2000.0
AGO,ZWE,396,AfCFTA (African Continental Free Trade) Agreement,2019.0
AIA,AUT,4,EU – Overseas Countries and Territories (OCT),1971.0
AIA,BEL,4,EU – Overseas Countries and Territories (OCT),1971.0
AIA,BGR,4,EU – Overseas Countries and Territories (OCT),1971.0
AIA,CYP,4,EU – Overseas Countries and Territories (OCT),1971.0
AIA,CZE,4,EU – Overseas Countries and Territories (OCT),1971.0
AIA,DEU,4,EU – Overseas Countries and Territories (OCT),1971.0
AIA,DNK,4,EU – Overseas Countries and Territories (OCT),1971.0
AIA,ESP,4,EU – Overseas Countries and Territories (OCT),1971.0
AIA,EST,4,EU – Overseas Countries and Territories (OCT),1971.0
AIA,FIN,4,EU – Overseas Countries and Territories (OCT),1971.0
AIA,FRA,4,EU – Overseas Countries and Territories (OCT),1971.0
AIA,GRC,4,EU – Overseas Countries and Territories (OCT),1971.0
AIA,HRV,4,EU – Overseas Countries and Territories (OCT),1971.0
AIA,HUN,4,EU – Overseas Countries and Territories (OCT),1971.0
AIA,IRL,4,EU – Overseas Countries and Territories (OCT),1971.0
AIA,ITA,4,EU – Overseas Countries and Territories (OCT),1971.0
AIA,LTU,4,EU – Overseas Countries and Territories (OCT),1971.0
AIA,LUX,4,EU – Overseas Countries and Territories (OCT),1971.0
AIA,LVA,4,EU – Overseas Countries and Territories (OCT),1971.0
AIA,MLT,4,EU – Overseas Countries and Territories (OCT),1971.0
AIA,NLD,4,EU – Overseas Countries and Territories (OCT),1971.0
AIA,POL,4,EU – Overseas Countries and Territories (OCT),1971.0
AIA,PRT,4,EU – Overseas Countries and Territories (OCT),1971.0
AIA,ROU,4,EU – Overseas Countries and Territories (OCT),1971.0
AIA,SVK,4,EU – Overseas Countries and Territories (OCT),1971.0
AIA,SVN,4,EU – Overseas Countries and Territories (OCT),1971.0
AIA,SWE,4,EU – Overseas Countries and Territories (OCT),1971.0
ALB,AUT,121,EU - Albania,2006.0
ALB,BEL,121,EU - Albania,2006.0
ALB,BGR,121,EU - Albania,2006.0
ALB,BIH,128,Central European Free Trade Agreement (CEFTA) 2006,2007.0
ALB,CHE,191,EFTA - Albania,2010.0
ALB,CYP,121,EU - Albania,2006.0
ALB,CZE,121,EU - Albania,2006.0
ALB,DEU,121,EU - Albania,2006.0
ALB,DNK,121,EU - Albania,2006.0
ALB,ESP,121,EU - Albania,2006.0
ALB,EST,121,EU - Albania,2006.0
ALB,FIN,121,EU - Albania,2006.0
ALB,FRA,121,EU - Albania,2006.0
ALB,GBR,375,United Kingdom - Albania,2021.0
ALB,GRC,121,EU - Albania,2006.0
ALB,HRV,121,EU - Albania,2006.0
ALB,HUN,121,EU - Albania,2006.0
ALB,IRL,121,EU - Albania,2006.0
ALB,ISL,191,EFTA - Albania,2010.0
ALB,ITA,121,EU - Albania,2006.0
ALB,LIE,191,EFTA - Albania,2010.0
ALB,LTU,121,EU - Albania,2006.0
ALB,LUX,121,EU - Albania,2006.0
ALB,LVA,121,EU - Albania,2006.0
ALB,MDA,128,Central European Free Trade Agreement (CEFTA) 2006,2007.0
ALB,MKD,128,Central European Free Trade Agreement (CEFTA) 2006,2007.0
ALB,MLT,121,EU - Albania,2006.0
ALB,MNE,128,Central European Free Trade Agreement (CEFTA) 2006,2007.0
ALB,NLD,121,EU - Albania,2006.0
ALB,NOR,191,EFTA - Albania,2010.0
ALB,POL,121,EU - Albania,2006.0
ALB,PRT,121,EU - Albania,2006.0
ALB,ROU,121,EU - Albania,2006.0
ALB,SRB,128,Central European Free Trade Agreement (CEFTA) 2006,2007.0
ALB,SVK,121,EU - Albania,2006.0
ALB,SVN,121,EU - Albania,2006.0
ALB,SWE,121,EU - Albania,2006.0
ALB,TUR,137,Türkiye - Albania,2008.0
ALB,XKX,128,Central European Free Trade Agreement (CEFTA) 2006,2007.0
AND,AUT,38,EU - Andorra,1991.0
AND,BEL,38,EU - Andorra,1991.0
AND,BGR,38,EU - Andorra,1991.0
AND,CYP,38,EU - Andorra,1991.0
AND,CZE,38,EU - Andorra,1991.0
AND,DEU,38,EU - Andorra,1991.0
AND,DNK,38,EU - Andorra,1991.0
AND,ESP,38,EU - Andorra,1991.0
AND,EST,38,EU - Andorra,1991.0
AND,FIN,38,EU - Andorra,1991.0
AND,FRA,38,EU - Andorra,1991.0
AND,GRC,38,EU - Andorra,1991.0
AND,HRV,38,EU - Andorra,1991.0
AND,HUN,38,EU - Andorra,1991.0
AND,IRL,38,EU - Andorra,1991.0
AND,ITA,38,EU - Andorra,1991.0
AND,LTU,38,EU - Andorra,1991.0
AND,LUX,38,EU - Andorra,1991.0
AND,LVA,38,EU - Andorra,1991.0
AND,MLT,38,EU - Andorra,1991.0
AND,NLD,38,EU - Andorra,1991.0
AND,POL,38,EU - Andorra,1991.0
AND,PRT,38,EU - Andorra,1991.0
AND,ROU,38,EU - Andorra,1991.0
AND,SVK,38,EU - Andorra,1991.0
AND,SVN,38,EU - Andorra,1991.0
AND,SWE,38,EU - Andorra,1991.0
ARE,BHR,118,Pan-Arab Free Trade Area (PAFTA),1998.0
ARE,BHR,282,Gulf Cooperation Council (GCC),2003.0
ARE,CHE,320,EFTA - Gulf Cooperation Council (GCC),2014.0
ARE,EGY,118,Pan-Arab Free Trade Area (PAFTA),1998.0
ARE,IND,394,India - United Arab Emirates,2022.0
ARE,IRQ,118,Pan-Arab Free Trade Area (PAFTA),1998.0
ARE,ISL,320,EFTA - Gulf Cooperation Council (GCC),2014.0
ARE,JOR,118,Pan-Arab Free Trade Area (PAFTA),1998.0
ARE,KWT,118,Pan-Arab Free Trade Area (PAFTA),1998.0
